charges,krs,uorCode
Solc Forgery - 3rd Degree,516040,250232
Cons Forgery - 3rd Degree,516040,250233
Facl Forgery - 3rd Degree,516040,250234
Comp Forgery - 3rd Degree,516040,250235
"Forgery of a Prescription, 1st offense",218A282,250130
"Att Forgery of a Prescription, 1st offense",218A282,250131
"Solc Forgery of a Prescription, 1st offense",218A282,250132
"Cons Forgery of a Prescription, 1st offense",218A282,250133
"Facl Forgery of a Prescription, 1st offense",218A282,250134
"Comp Forgery of a Prescription, 1st offense",218A282,250135
"Forgery of a Prescription, 2nd offense or >",218A282,250140
"Att Forgery of a Prescription, 2nd offense or >",218A282,250141
"Solc Forgery of a Prescription, 2nd offense or >",218A282,250142
"Cons Forgery of a Prescription, 2nd offense or >",218A282,250143
"Facl Forgery of a Prescription, 2nd offense or >",218A282,250144
"Comp Forgery of a Prescription, 2nd offense or >",218A282,250145
"Forgery of a Prescription for a Legend Drug , 1st offense",217208,250150
"Att Forgery of a Prescription for a Legend Drug , 1st offense",217208,250151
"Solc Forgery of a Prescription for a Legend Drug , 1st offense",217208,250152
"Cons Forgery of a Prescription for a Legend Drug , 1st offense",217208,250153
"Facl Forgery of a Prescription for a Legend Drug , 1st offense",217208,250154
"Comp Forgery of a Prescription for a Legend Drug , 1st offense",217208,250155
"Forgery of a Prescription for a Legend Drug , 2nd offense or >",217208,250160
"Att Forgery of a Prescription for a Legend Drug , 2nd offense or >",217208,250161
"Solc Forgery of a Prescription for a Legend Drug , 2nd offense or >",217208,250162
"Cons Forgery of a Prescription for a Legend Drug , 2nd offense or >",217208,250163
"Facl Forgery of a Prescription for a Legend Drug , 2nd offense or >",217208,250164
"Comp Forgery of a Prescription for a Legend Drug , 2nd offense or >",217208,250165
Criminal Possession of a Forged Instrument - 1st Degree,516050,250610
Att Criminal Possession of a Forged Instrument - 1st Degree,516050,250611
Solc Criminal Possession of a Forged Instrument - 1st Degree,516050,250612
Cons Criminal Possession of a Forged Instrument - 1st Degree,516050,250613
Facl Criminal Possession of a Forged Instrument - 1st Degree,516050,250614
Comp Criminal Possession of a Forged Instrument - 1st Degree,516050,250615
Criminal Possession of a Forged Instrument - 2nd Degree,516060,250620
Att Criminal Possession of a Forged Instrument - 2nd Degree,516060,250621
Solc Criminal Possession of a Forged Instrument - 2nd Degree,516060,250622
Cons Criminal Possession of a Forged Instrument - 2nd Degree,516060,250623
Facl Criminal Possession of a Forged Instrument - 2nd Degree,516060,250624
Comp Criminal Possession of a Forged Instrument - 2nd Degree,516060,250625
Criminal Possession of a Forged Instrument - 3rd Degree,516070,10060
Att Criminal Possession of a Forged Instrument - 3rd Degree,516070,10061
Solc Criminal Possession of a Forged Instrument - 3rd Degree,516070,10062
Cons Criminal Possession of a Forged Instrument - 3rd Degree,516070,10063
Facl Criminal Possession of a Forged Instrument - 3rd Degree,516070,10064
Comp Criminal Possession of a Forged Instrument - 3rd Degree,516070,10065
"Criminal Possession of a Forged Prescription, 1st offense",218A284,250630
"Att Criminal Possession of a Forged Prescription, 1st offense",218A284,250631
"Solc Criminal Possession of a Forged Prescription, 1st offense",218A284,250632
"Cons Criminal Possession of a Forged Prescription, 1st offense",218A284,250633
"Facl Criminal Possession of a Forged Prescription, 1st offense",218A284,250634
"Comp Criminal Possession of a Forged Prescription, 1st offense",218A284,250635
"Enh Criminal Possession of a Forged Prescription, 1st offense",218A284,250636
"Criminal Possession of a Forged Prescription, 2nd offense or >",218A284,250640
"Att Criminal Possession of a Forged Prescription, 2nd offense or >",218A284,250641
"Solc Criminal Possession of a Forged Prescription, 2nd offense or >",218A284,250642
"Cons Criminal Possession of a Forged Prescription, 2nd offense or >",218A284,250643
"Facl Criminal Possession of a Forged Prescription, 2nd offense or >",218A284,250644
"Comp Criminal Possession of a Forged Prescription, 2nd offense or >",218A284,250645
"Enh Criminal Possession of a Forged Prescription, 2nd offense or >",218A284,250646
Possession of a Forgery Device - Identify,516090,250800
Att Possession of a Forgery Device - Identify,516090,250801
Solc Possession of a Forgery Device - Identify,516090,250802
Cons Possession of a Forgery Device - Identify,516090,250803
Facl Possession of a Forgery Device - Identify,516090,250804
Comp Possession of a Forgery Device - Identify,516090,250805
Forgery - Altering Registration Form ,116047,252200
Att Forgery - Altering Registration Form ,116047,252201
Solc orgery - Altering Registration Form ,116047,252202
Cons Forgery - Altering Registration Form ,116047,252203
Facl Forgery - Altering Registration Form ,116047,252204
Comp Forgery - Altering Registration Form ,116047,252205
Forgery - Nomination Papers,119065,252300
Att Forgery - Nomination Papers,119065,252301
Solc Forgery - Nomination Papers,119065,252302
Cons Forgery - Nomination Papers,119065,252303
Facl Forgery - Nomination Papers,119065,252304
Comp Forgery - Nomination Papers,119065,252305
Attempt/Obtain Cont Sub by Fraud/False Stmt/Forgery ,218A1401A,420540
Att Attempt/Obtain Cont Sub by Fraud/False Stmt/Forgery ,218A1401A,420541
Solc Attempt/Obtain Cont Sub by Fraud/False Stmt/Forgery ,218A1401A,420542
Cons Attempt/Obtain Cont Sub by Fraud/False Stmt/Forgery ,218A1401A,420543
Facl Attempt/Obtain Cont Sub by Fraud/False Stmt/Forgery ,218A1401A,420544
Comp Attempt/Obtain Cont Sub by Fraud/False Stmt/Forgery ,218A1401A,420545
Enh Attempt/Obtain Cont Sub by Fraud/False Stmt/Forgery ,218A1401A,420546
Fraud of Use Credit Card,,
Fraudulent Use of Credit Card U/$500 w/ 6 month period,434.65,711490
Att Fraudulent Use of Credit Card U/$500 w/ 6 month period,434.65,711491
Solc Fraudulent Use of Credit Card U/$500 w/ 6 month period,434.65,711492
Cons Fraudulent Use of Credit Card U/$500 w/ 6 month period,434.65,711493
Facl Fraudulent Use of Credit Card U/$500 w/ 6 month period,434.65,711494
Comp Fraudulent Use of Credit Card U/$500 w/ 6 month period,434.65,711495
"Fraudulent Use of Credit Card U/$10,000",434.65,711500
"Att Fraudulent Use of Credit Card U/$10,000",434.65,711501
"Solc Fraudulent Use of Credit Card U/$10,000",434.65,711502
"Cons Fraudulent Use of Credit Card U/$10,000",434.65,711503
"Facl Fraudulent Use of Credit Card U/$10,000",434.65,711504
"Comp Fraudulent Use of Credit Card U/$10,000",434.65,711505
"Fraudulent Use of Credit Card $10,000 or more",434.65,711510
"Att Fraudulent Use of Credit Card $10,000 or more",434.65,711511
"Solc Fraudulent Use of Credit Card $10,000 or more",434.65,711512
"Cons Fraudulent Use of Credit Card $10,000 or more",434.65,711513
"Facl Fraudulent Use of Credit Card $10,000 or more",434.65,711514
"Comp Fraudulent Use of Credit Card $10,000 or more",434.65,711515
Fraud Use Credit Card After Report Lost/Stolen U/$500,434.655,711520
Att Fraud Use Credit Card After Report Lost/Stolen U/$500,434.655,711521
Solc Fraud Use Credit Card After Report Lost/Stolen U/$500,434.655,711522
Cons Fraud Use Credit Card After Report Lost/Stolen U/$500,434.655,711523
Facl Fraud Use Credit Card After Report Lost/Stolen U/$500,434.655,711524
Comp Fraud Use Credit Card After Report Lost/Stolen U/$500,434.655,711525
"Fraud Use Credit Card After Report Lost/Stolen U/$10,000",434.655,711530
"Att Fraud Use Credit Card After Report Lost/Stolen U/$10,000",434.655,711531
"Solc Fraud Use Credit Card After Report Lost/Stolen U/$10,000",434.655,711532
"Cons Fraud Use Credit Card After Report Lost/Stolen U/$10,000",434.655,711533
"Facl Fraud Use Credit Card After Report Lost/Stolen U/$10,000",434.655,711534
"Comp Fraud Use Credit Card After Report Lost/Stolen U/$10,000",434.655,711535
"Fraud Use Credit Card After Report Lost/Stolen $10,000 >",434.655,711540
"Att Fraud Use Credit Card After Report Lost/Stolen $10,000 >",434.655,711541
"Solc Fraud Use Credit Card After Report Lost/Stolen $10,000 >",434.655,711542
"Cons Fraud Use Credit Card After Report Lost/Stolen $10,000 >",434.655,711543
"Facl Fraud Use Credit Card After Report Lost/Stolen $10,000 >",434.655,711544
"Comp Fraud Use Credit Card After Report Lost/Stolen $10,000 >",434.655,711545
Giving Officer False Name or Address,523110(1),26950
Att Giving Officer False Name or Address,523110(1),26951
Solc Giving Officer False Name or Address,523110(1),26952
Cons Giving Officer False Name or Address,523110(1),26953
Facl Giving Officer False Name or Address,523110(1),26954
Comp Giving Officer False Name or Address,523110(1),26955
Harrassment,,
Harassing Communication ,525080,24020
Att Harassing Communication ,525080,24021
Solc Harassing Communication ,525080,24022
Cons Harassing Communication ,525080,24023
Facl Harassing Communication ,525080,24024
Comp Harassing Communication ,525080,24025
Harassment - No Physical Contact,525070,24050
Att Harassment - No Physical Contact,525070,24051
Solc Harassment - No Physical Contact,525070,24052
Cons Harassment - No Physical Contact,525070,24053
Facl Harassment - No Physical Contact,525070,24054
Comp Harassment - No Physical Contact,525070,2455
Harassment - (Physical Contact) No Injury,525070(1A),24070
Att Harassment - (Physical Contact) No Injury,525070(1A),24071
Solc Harassment - (Physical Contact) No Injury,525070(1A),24072
Cons Harassment - (Physical Contact) No Injury,525070(1A),24073
Facl Harassment - (Physical Contact) No Injury,525070(1A),24074
Comp Harassment - (Physical Contact) No Injury,525070(1A),24075
Loitering ,,
Loitering ,525090,27300
Att Loitering ,525090,27301
Solc Loitering ,525090,27302
Cons Loitering ,525090,27303
Facl Loitering ,525090,27304
Comp Loitering ,525090,27305
Menacing,,
Menacing,508050,8030
Att Menacing,508050,8031
Solc Menacing ,508050,8032
Cons Menacing,508050,8033
Facl Menacing,508050,8034
Comp Menacing,508050,8035
Narcotics (Misdemenors),,
"Possession Controlled Substance - 2nd Degree, Amphetamine ",218A1416,422410
"Att Possession Controlled Substance - 2nd Degree, Amphetamine ",218A1416,422411
"Solc Possession Controlled Substance - 2nd Degree, Amphetamine ",218A1416,422412
"Cons Possession Controlled Substance - 2nd Degree, Amphetamine ",218A1416,422413
"Facl Possession Controlled Substance - 2nd Degree, Amphetamine ",218A1416,422414
"Comp Possession Controlled Substance - 2nd Degree, Amphetamine ",218A1416,422415
"Possession Controlled Substance - 2nd Degree, Barbituate",218A1416,422420
"Att Possession Controlled Substance - 2nd Degree, Barbituate",218A1416,422421
"Solc Possession Controlled Substance - 2nd Degree, Barbituate ",218A1416,422422
"Cons Possession Controlled Substance - 2nd Degree, Barbituate ",218A1416,422423
"Facl Possession Controlled Substance - 2nd Degree, Barbituate  ",218A1416,422424
"Comp Possession Controlled Substance - 2nd Degree, Barbituate ",218A1416,422425
"Possession Controlled Substance - 2nd Degree, Barbituate",218A1416,422430
"Att Possession Controlled Substance - 2nd Degree, Barbituate",218A1416,422431
"Solc Possession Controlled Substance - 2nd Degree, Barbituate ",218A1416,422432
"Cons Possession Controlled Substance - 2nd Degree, Barbituate ",218A1416,422433
"Facl Possession Controlled Substance - 2nd Degree, Barbituate  ",218A1416,422434
"Comp Possession Controlled Substance - 2nd Degree, Barbituate ",218A1416,422435
"Possession Controlled Substance - 2nd Degree, Anabolic Steroid",218A1416,422440
"Att Possession Controlled Substance - 2nd Degree, Anabolic Steroid",218A1416,422441
"Solc Possession Controlled Substance - 2nd Degree, Anabolic Steroid",218A1416,422442
"Cons Possession Controlled Substance - 2nd Degree, Anabolic Steroid ",218A1416,422443
"Facl Possession Controlled Substance - 2nd Degree, Anabolic Steroid   ",218A1416,422444
"Comp Possession Controlled Substance - 2nd Degree, Anabolic Steroid ",218A1416,422445
"Possession Controlled Substance - 2nd Degree, Drug Unspecified ",218A1416,422450
"Att Possession Controlled Substance - 2nd Degree, Drug Unspecified ",218A1416,422451
"Solc Possession Controlled Substance - 2nd Degree, Drug Unspecified ",218A1416,422452
"Cons Possession Controlled Substance - 2nd Degree, Drug Unspecified ",218A1416,422453
"Facl Possession Controlled Substance - 2nd Degree, Drug Unspecified   ",218A1416,422454
"Comp Possession Controlled Substance - 2nd Degree, Drug Unspecified",218A1416,422455
"Possession Controlled Substance - 2nd Degree, Codeine",218A1416,422460
"Att Possession Controlled Substance - 2nd Degree, Codeine",218A1416,422461
"Solc Possession Controlled Substance - 2nd Degree, Codeine",218A1416,422462
"Cons Possession Controlled Substance - 2nd Degree, Codeine ",218A1416,422463
"Facl Possession Controlled Substance - 2nd Degree, Codeine   ",218A1416,422464
"Comp Possession Controlled Substance - 2nd Degree, Codeine ",218A1416,422465
Possession of Synthetic Cannabinoid Agonists or Piperazines,218A.1427,422500
Att Possession of Synthetic Cannabinoid Agonists or Piperazines,218A.1427,422501
Solc Possession of Synthetic Cannabinoid Agonists or Piperazines,218A.1427,422502
Cons Possession of Synthetic Cannabinoid Agonists or Piperazines,218A.1427,422503
Facl Possession of Synthetic Cannabinoid Agonists or Piperazines,218A.1427,422504
Comp Possession of Synthetic Cannabinoid Agonists or Piperazines,218A.1427,422505
"Possesion Controlled Substance - 3rd Degree, Drug Unspecified ",218A1417,422630
"Att Possesion Controlled Substance - 3rd Degree, Drug Unspecified ",218A1417,422631
"Solc Possesion Controlled Substance - 3rd Degree, Drug Unspecified ",218A1417,422632
"Cons Possesion Controlled Substance - 3rd Degree, Drug Unspecified ",218A1417,422633
"Facl Possesion Controlled Substance - 3rd Degree, Drug Unspecified ",218A1417,422634
"Comp Possesion Controlled Substance - 3rd Degree, Drug Unspecified ",218A1417,422635
Possession of Salvia ,217A.1451,422700
Att Possession of Salvia ,217A.1451,422701
Solc Possession of Salvia ,217A.1451,422702
Cons Possession of Salvia ,217A.1451,422703
Facl Possession of Salvia ,217A.1451,422704
Comp Possession of Salvia ,217A.1451,422705
Manufacture of Synthetic Cannaboid Agonists or Piperazines,218A.1428,423040
Att Manufacture of Synthetic Cannaboid Agonists or Piperazines,218A.1428,423041
Solc Manufacture of Synthetic Cannaboid Agonists or Piperazines,218A.1428,423042
Cons Manufacture of Synthetic Cannaboid Agonists or Piperazines,218A.1428,423043
Facl Manufacture of Synthetic Cannaboid Agonists or Piperazines,218A.1428,423044
Comp Manufacture of Synthetic Cannaboid Agonists or Piperazines,218A.1428,423045
Cultivation of Salvia ,218A.1452,423550
Att Cultivation of Salvia ,218A.1452,423551
Solu Cultivation of Salvia ,218A.1452,423552
Cons Cultivation of Salvia ,218A.1452,423553
Facl Cultivation of Salvia ,218A.1452,423554
Comp Cultivation of Salvia ,218A.1452,423555
"Att Tics - 1st Degree, 1st offense (< 10 D.U. Date Rape Drug)",218A1412,423621
"Solc Tics - 1st Degree, 1st offense (< 10 D.U. Date Rape Drug)",218A1412,423622
"Facl Tics - 1st Degree, 1st offense (< 10 D.U. Date Rape Drug)",218A1412,423624
"Att Tics - 1st Degree, 1st offense (< 2 Gms Methamphetamine)",218A1412 ,423661
"Solc Tics - 1st Degree, 1st offense (< 2 Gms Methamphetamine)",218A1412 ,423662
"Facl Tics - 1st Degree, 1st offense (< 2 Gms Methamphetamine)",218A1412 ,423664
"Att Tics - 1st Degree, 1st offense (< 4 Gms Cocaine)",218A1412 ,423701
"Solc Tics - 1st Degree, 1st offense (< 4 Gms Cocaine)",218A1412 ,423702
"Facl Tics - 1st Degree, 1st offense (< 4 Gms Cocaine)",218A1412 ,423704
"Att Tics - 1st Degree, 1st offense (< 10 D.U. Opiates)",218A1412 ,423741
"Solc Tics - 1st Degree, 1st offense (< 10 D.U. Opiates)",218A1412 ,423742
"Facl Tics - 1st Degree, 1st offense (< 10 D.U. Opiates)",218A1412 ,423744
"Att Tics - 1st Degree, 1st offense (< 2 Gms Heroin)",218A1412 ,423781
"Solc Tics - 1st Degree, 1st offense (< 2 Gms Heroin)",218A1412 ,423782
"Facl Tics - 1st Degree, 1st offense (< 2 Gms Heroin)",218A1412 ,423784
"Att Tics - 1st Degree, 1st offense (< 10 D.U. Drug Unsp Sched 1 & 2)",218A1412 ,423821
"Solc Tics - 1st Degree, 1st offense (< 10 D.U. Drug Unsp Sched 1 & 2)",218A1412 ,423822
"Facl Tics - 1st Degree, 1st offense (< 10 D.U. Drug Unsp Sched 1 & 2)",218A1412 ,423824
"Att Tics - 2nd Degree, 1st offense (> 10 D.U. Codeine)",218A14131A,424361
"Solc Tics - 2nd Degree, 1st offense (> 10 D.U. Codeine)",218A14131A,424362
"Facl Tics - 2nd Degree, 1st offense (> 10 D.U. Codeine)",218A14131A,424364
"Att Tics - 2nd Degree, 1st offense (< 10 D.U. Codeine)",218A14131A,424371
"Solc Tics - 2nd Degree, 1st offense (< 10 D.U. Codeine)",218A14131A,424372
"Facl Tics - 2nd Degree, 1st offense (< 10 D.U. Codeine)",218A14131A,424374
"Att Tics - 2nd Degree, 2nd or > offense (< 10 D.U. Codeine)",218A14131A,424381
"Solc Tics - 2nd Degree, 2nd or > offense (< 10 D.U. Codeine)",218A14131A,424382
"Facl Tics - 2nd Degree, 2nd or > offense (< 10 D.U. Codeine)",218A14131A,424384
"Att Tics - 2nd Degree, 1st offense (> 10 Gms Amphetamine)",218A14131A,424391
"Solc Tics - 2nd Degree, 1st offense (> 10 Gms Amphetamine)",218A14131A,424392
"Facl Tics - 2nd Degree, 1st offense (> 10 Gms Amphetamine)",218A14131A,424394
Trafficking in Napthylprovalerone ,218A1453,424400
Att Trafficking in Napthylprovalerone ,218A1453,424401
Solc Trafficking in Napthylprovalerone ,218A1453,424402
Cons Trafficking in Napthylprovalerone ,218A1453,424403
Facl Trafficking in Napthylprovalerone ,218A1453,424404
Comp Trafficking in Napthylprovalerone ,218A1453,424405
"Trafficking in 3,4 Methylene Dioxypyrovalerone",218A1453,424410
"Att Trafficking in 3,4 Methylene Dioxypyrovalerone",218A1453,424411
"Solc Trafficking in 3,4 Methylene Dioxypyrovalerone",218A1453,424412
"Cons Trafficking in 3,4 Methylene Dioxypyrovalerone",218A1453,424413
"Facl Trafficking in 3,4 Methylene Dioxypyrovalerone",218A1453,424414
"Comp Trafficking in 3,4 Methylene Dioxypyrovalerone",218A1453,424415
"Trafficking in 3,4 Methylene Dioxymethylcathinone",218A1453,424420
"Att Trafficking in 3,4 Methylene Dioxymethylcathinone",218A1453,424421
"Solc Trafficking in 3,4 Methylene Dioxymethylcathinone",218A1453,424422
"Cons Trafficking in 3,4 Methylene Dioxymethylcathinone",218A1453,424423
"Facl Trafficking in 3,4 Methylene Dioxymethylcathinone",218A1453,424424
"Comp Trafficking in 3,4 Methylene Dioxymethylcathinone",218A1453,424425
Trafficking in 4 Methylmethcathinone,218A1453,424430
Att Trafficking in 4 Methylmethcathinone,218A1453,424431
Solc Trafficking in 4 Methmethcathinone,218A1453,424432
Cons Trafficking in 4 Methylmethcathinone,218A1453,424433
Facl Trafficking in 4 Methylmethcathinone,218A1453,424434
Comp Trafficking in 4 Methylmethcathinone,218A1453,424435
"Att Tics - 2nd Degree, 1st offense (< 20 D.U. Barbituate)",218A14131A,424451
"Solc Tics - 2nd Degree, 1st offense (< 20 D.U. Barbituate)",218A14131A,424452
"Cons Tics - 2nd Degree, 1st offense (< 20 D.U. Barbituate) ",218A14131A,424454
"Att Tics - 2nd Degree, 2nd or > offense (< 20 D.U. Barbituate)",218A14131A,424461
"Solc Tics - 2nd Degree, 2nd or > offense (< 20 D.U. Barbituate)",218A14131A,424462
"Cons Tics - 2nd Degree, 2nd or > offense (< 20 D.U. Barbituate) ",218A14131A,424464
"Att Tics - 2nd Degree, 1st offense (> 10 D.U. Hallucinogin)",218A14131A,424471
"Solc Tics - 2nd Degree, 1st offense (> 10 D.U. Hallucinogin)",218A14131A,424472
"Cons Tics - 2nd Degree, 1st offense (> 10 D.U. Hallucinogin) ",218A14131A,424474
"Att Tics - 2nd Degree, 1st offense (< 10 D.U. Hallucinogin)",218A14131A,424491
"Solc Tics - 2nd Degree, 1st offense (< 10 D.U. Hallucinogin)",218A14131A,424492
"Cons Tics - 2nd Degree, 1st offense (< 10 D.U. Hallucinogin) ",218A14131A,424494
Possession of Napthylprovalerone,218A1454,424500
Att Possession of Napthylprovalerone,218A1454,424501
Solc Possession of Napthylprovalerone,218A1454,424502
Cons Possession of Napthylprovalerone,218A1454,424503
Facl Possession of Napthylprovalerone,218A1454,424504
Comp Possession of Napthylprovalerone,218A1454,424505
"Possession of 3,4 Methylene Dioxypyrovalerone",218A1454,424510
"Att Possession of 3,4 Methylene Dioxypyrovalerone",218A1454,424511
"Solc Possession of 3,4 Methylene Dioxypyrovalerone",218A1454,424512
"Cons Possession of 3,4 Methylene Dioxypyrovalerone",218A1454,424513
"Facl Possession of 3,4 Methylene Dioxypyrovalerone",218A1454,424514
"Comp Possession of 3,4 Methylene Dioxypyrovalerone",218A1454,424515
"Possession of 3,4 Methylene Dioxymethylcathinone",218A1454,424520
"Att Possession of 3,4 Methylene Dioxymethylcathinone",218A1454,424521
"Solc Possession of 3,4 Methylene Dioxymethylcathinone",218A1454,424522
"Cons Possession of 3,4 Methylene Dioxymethylcathinone",218A1454,424523
"Facl Possession of 3,4 Methylene Dioxymethylcathinone",218A1454,424524
"Comp Possession of 3,4 Methylene Dioxymethylcathinone",218A1454,424525
Possession of 4 Methylmethcathinone,218A1454,424530
Att Possession of 4 Methylmethcathinone,218A1454,424531
Solc Possession of 4 Methmethcathinone,218A1454,424532
Cons Possession of 4 Methylmethcathinone,218A1454,424533
Facl Possession of 4 Methylmethcathinone,218A1454,424534
Comp Possession of 4 Methylmethcathinone,218A1454,424535
"Att Tics - 2nd Degree, 2nd or > offense (< 10 D.U. Sched 1&2Non- Narc)",218A14131A,424541
"Solc Tics - 2nd Degree, 2nd or > offense (< 10 D.U. Sched 1&2Non- Narc)",218A14131A,424542
"Facl Tics - 2nd Degree, 2nd or > offense (< 10 D.U. Sched 1&2Non- Narc)",218A14131A,424544
